Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"SMA male connector","To connect the LNA to the DIY Horn Antenna",1,2.14,"https://www.amazon.in/Panel-Straight-Connector-Coaxial-Adapter/dp/B0965NWHW6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KKtRPx8Fzc6ySzvDOAy2zx9tm3kpBf981QlZIniIAFT-l2t2Wx1PhIG7wXdtE3RdrGlnrzijSWUA_UTs1DHY9alf4s22XP8aNFT2KD5si9nTvCKnmMOEOsJZ0ctS6J-oO8IS3zWCgbVcSSJGAkOEfDgPWSLkJ3MC9AFVxf-WTYciNuj9C_9AisSpjJ_tHVk-SOEw6-t7n7wry2y1U-KbvVF9keidXaKIrzG1nXiBcRs.V8ubIB4PddyHjK3tqwnXuNNHdg5GuNtiqz1lMlYEpcU&dib_tag=se&keywords=sma%2Bmale%2Bconnector&qid=1775496221&sr=8-3&th=1","Amazon"
"SMA cable M to M ","to connect the rtl-sdr with LNA",1,3.50,"https://www.amazon.in/Connecting-Coaxial-Antenna-Extender-Adapter/dp/B08254RHT3/ref=sr_1_3?crid=8LEZDMFBYTSC&dib=eyJ2IjoiMSJ9.MRi-0jaeUR19hSIpjP7d5gyYvsrH9jRlnwwmuVfL3Qty-szRdw8ln3N1n8Ek6W7lZ4k_4Uf-Q4T3GNkvSZuAf44I40FxgU34K8Q6fNsUWJpcIRMXjNC0vx_kaM4_fMSYjU7BE8Y08hFFy6idx7Bh18VaOy6eKClA1GqASnT5v_aVYSyz3PBJWtYjFNQYR_KkLn6HCuoG0FO5qobU8YBYSzkxWS5z6XTS1EW5tzXhtQ4.9ew-tv9fg8q3QBuamnRXE8FusqR902N6oDuLhZXW-Ew&dib_tag=se&keywords=sma+male+to+male+connector&qid=1775495908&sprefix=sma+male+to+male+and+male+to+female+connector%2Caps%2C419&sr=8-3","Amazon"
"Closed Loop belt for gt2 pulley","will be used to connect the two pulley",2,4.68,"https://www.amazon.in/Timing-Width-6mm-Closed-Loop-Rubber-Printer/dp/B09PBWGXD2/ref=sr_1_8?crid=279R64CZ1GR5D&dib=eyJ2IjoiMSJ9.rcLWi8duzFjQuO_dmjWKsltTdC7Vr4-sccgnlQZQVPT4LUenKAUPfgX1-sVhRRN1NkfvyAv9O9puuxVHv5bY8Fo1H4QiCLdFegTqZjzB6ICkQGrnII6n-qN-ucqF9vgRDF-esieD3Rqt4iLrjWW0jNX2-cRXIhca_LTYVx45R5sky9bFo9AadS_nYdKyK_LKgSAmiqrX8EGncsdyRZ98m_HZiq3dHSLwNAa_OlyKoNb8BQ6beAkRsmC6nGH1wxiwR9zrikVqE_yz7vzG4tEL_wbLGNMc9XF1dQGgsNn0IWE.ZK-HmNf1o41ooabTZXzBXIMQJGAsJfOayFy_ZpH28NM&dib_tag=se&keywords=gt2%2Bpulley%2Bbelt&qid=1774018503&sprefix=gt2%2B%2Caps%2C412&sr=8-8&th=1","Amazon"
"Gt2 60 tooth pulley (1 pcs pack)","to attach to the x and y axis ot the reciever",2,8.54,"https://www.amazon.in/3DINNOVATIONS-Aluminum-Timing-Pulley-Teeth/dp/B0968HWW48/ref=sr_1_8?crid=2V9M2XYUNQILN&dib=eyJ2IjoiMSJ9.IMJCF1Wq9TctGWs-qJte5MTW2ISTOEYLKBApgAqW3u5MN9C272JpJjalYoWvvMBYA2w-E28_e2BDLSJXZZvW2ahnM5VUCZh0WCE6ij77Go7MSEwhEIOK7aBBVFiw2ZaXucpr07KQkTd7HZkHVCVhrv-SEF2nXB-T75oSr4ExOM6lpQTAQj-WhXKbiOsRWZn6Z-xb9JQFM0g6kU5c1n9KJgject65mHEI7BNYz5bxLQIUbhiYrxTwTl65vIL2NK0pKogt_RilRl4QomAAvLbKNn0tDrsE26zE69sdo9DknYE.Jjg7Fa9dp_P2jq-V-ZGZyJcvkCwJBfKi4z7cO6GX0pE&dib_tag=se&keywords=gt2+pulley+belt120+T&qid=1774018904&sprefix=gt2+pulley+belt120+%2Caps%2C395&sr=8-8","Amazon"
"GT2 pulley ","Pulley to be attached to the stepper motor ",2,3.66,"https://www.amazon.in/Techtonics-Teeth-Aluminium-Timing-Pulley/dp/B01MQ0IGGW/ref=sr_1_4?crid=1NSYPJ1V1MLHH&dib=eyJ2IjoiMSJ9.8teKv7ehQNm7cZW3eiheD-9vzNpoGBJClr7AWqgVp-xycRiMMFolSnS-6bFVaYrCgoUX-FVbqrUT9LOw6JWNfGsQY3EINBeYvpOydraaCfgX82I2sirzvQAo6dwRj5u4zKRWNC_uhZ8ZncjDHYbrs4NBmywtN5s08rscdMhZ7M4h1MwtybaL3r2VaP6KpvH_ugp8A1jF3pA8_ZzzNtcppLEE6MfPi31JAFcmi4s4_zJdJA1fZBHaGzmAC5vIA7ismAo1xbSLwZakZnc6Kw8AsGUhY093abU-okZNftjCNDE.TwhTCjaNcIuibUwRIt9WDFv6dyFsqtx33aOlSGiA8_w&dib_tag=se&keywords=20+Tooth+5mm+Bore+GT2+Timing+Idler+Aluminum+Pulley+For+6mm+Belt&nsdOptOutParam=true&qid=1775497419&sprefix=20+tooth+5mm+bore+gt2+timing+idler+aluminum+pulley+for+6mm+belt%2Caps%2C445&sr=8-4","Amazon"
"RTL-SDR","Converts Analog Radio Frequency to Digital signal to be read using a computer",1,61.70,"https://www.amazon.in/RTL-SDR-Blog-RTL2832U-Software-Defined/dp/B0CD745394/ref=sr_1_3?crid=3VL4YU64WLIOR&dib=eyJ2IjoiMSJ9.T5MScIsqv2m2mqT6kCwRwCbq_xS8h3EhnDYSUq8aZdQajqr4-AOdDDJ6en21fGGK5F_IFLbklWEnHGDG5qnXwZRBredGMs_ab-xaw5jN5z1BcniFjXDPeOcC4QRErL2_piXDX4wzUoiRPjSPKdLnlU7IyVQhcufgtP8AR0pB8cPrN6KQN5UIsaggkwxFNC07yLLrkddXT_omMMg4t8NAq2tbUZNnaH-HfuBSuYMhQMM.Rjhg6GrvB2AbXnVh0IDJ7ilb4I5zs6j1awc7RLkc4WQ&dib_tag=se&keywords=rtl+sdr+dongle&qid=1774017955&sprefix=rtl%2Caps%2C401&sr=8-3","Amazon"
"DRV8825 Driver Board","The driver for the stepper motor",2,1.62,"https://www.amazon.in/xcluma-DRV8825-Stepper-Driver-Soldered/dp/B071Z8VJ4C/ref=sr_1_1?crid=18BHEG8HI7KCQ&dib=eyJ2IjoiMSJ9.OB4mTrBmDqlcWKh4p5zwYPHpT65uoTJazpLFCChXx_SWLvT2BO9M5V6nOf2_V-p2GL0TV0R79Xuw2M1s2L-cbXEfv7MQUxeQL7KbzaczN6a_9j2sFXMomwaWzbqjV3aOQtLljt7dRnto0SnrXkS4uv7qj5lsE9yoX9Tm9FWnPtKJ-sYKB5REZQb1KpeaNdT8-kuW9yNgnSI-cnX1jStnKreQ493QBSqdMjw1MZDU62Et-BHWITYzJQN0JCBlFHi3sDjYWLxJTISRgCVtu-ifXvqk3wHgKPH4fPgu_wW6_f0.EQ2mYMzyjugmxxW0DT0lvb4iR-94cbTVta6LsTO3JOs&dib_tag=se&keywords=drv8825&qid=1774016868&sprefix=drv882%2Caps%2C446&sr=8-1","Amazon"
"NEMA-17 Bipolar Stepper motor(2 pcs)","To control where the radio reciever is pointing",1,16.52,"https://www.amazon.in/INVENTO-Bipolar-Stepper-Robotics-Projects/dp/B083CZ9Z56/ref=sr_1_6?crid=3FAQQVLT7F1B8&dib=eyJ2IjoiMSJ9.WFZoweV8LAhCwAjJZXmoRcaluhR6IUqfM2LDNpz2Q9Sa0BtpHqsNdeGkZ8DXDcAln4hrJ_-n7d4YDuVmdQjglfZCHsJpA4J70I-ZocIggdfj80wuC0C_BhPjFR9WjxyF5CWuxhfC8BydVRarGnTGKh3xe6tB2n3kcPJJx3Y-0qa_PQ3_86YUI9i3d3SZ9XPIucYAxS-OsV38SyKdcgxPOGDF-81eHlwhAxNPXnkUMY3A8z__j2SuDckIHV-Mg9LT_6UjFNBKSof3tDJ2cxKaI4Rvdw5kDDgXx1kGVDp-8DA.2rEzJrhWlV1HHKTnts5obo_0Rxfx28qHvmDZqII-bWE&dib_tag=se&keywords=stepper+motor&qid=1774016638&sprefix=stepper+moto%2Caps%2C404&sr=8-6","Amazon"
"Ultra Low Noise Amplifier","To amplify the low amplitude recorded by the radio reciever",1,43.50,"https://www.amazon.in/Amplifier-Software-Defined-0-1MHz%E2%80%916GHz-Preamplifier/dp/B0BZ4W7L7F/ref=sr_1_2?crid=3EU7BH61NIKC2&dib=eyJ2IjoiMSJ9.LDuRmswUmsdgztrEqJDmXjRIMF_TXSxzdrnj4Ebb6vlGe92a0u3oq_nWMz35qAEqJMPfSRYPBvClq_gbJum6XOzfhgQJU9mB3rL26chj6exntwHF2SSOV5710Vjxu9F771Phb5-aqH1s4_dJsaHtIvhEv8fyXDf55hijKC9rJd1b0u1Ch8pB2ZNbLLY7X3ULNtwmJYzMJv68-G4JtpKejIV_ML57Saf1FF5FNDJxLyA.TdIBkt3CJhbseSMqZJOnaSfbOwNb7_IOch4t7ibx24E&dib_tag=se&keywords=LNA&qid=1774015356&sprefix=ln%2Caps%2C423&sr=8-2&th=1","Amazon"
"Breadboard with M-M,M-F,F-F Jumper cable","for easy wiring for prototyping.",1,3.01,"https://www.amazon.in/ePro-Labs-KIT-0010-Breadboard-Pieces/dp/B01BLJGS7M/ref=sr_1_12?crid=804EZOO9W7BJ&dib=eyJ2IjoiMSJ9.EaERMANMz9M7-2yQULmlr0bVNF6bxJxpWvRlmssQhhV1OF3TPIv039QupUsGLzNmZUPYdfRhnE6t1Lt6HXNM4PYqeEJazousFahkL62ABbFmdlQ88FhLjEBilhECsD2c_ezH-y0yxvYsER4tsaE2zmT7pYPFwgjYW0ZugJMUJXlGMtu_qz5Y-JjT1Ur-hn1rjTXphovIwe0KFDtNjXYw5bXy_JDDwBxQO0sMZjO0YEDiWSSxI0KB7h5xSuJLkWRjMU1T9iOguXEM8z6U8fW0P7UMlX_4LhGgqC9Cq49ROqQ.O6SchQmHpY0E1rsRWTtByABaWZ3ggEVoSggXYjGnPVc&dib_tag=se&keywords=breadboard&qid=1774015115&sprefix=bread%2Caps%2C438&sr=8-12","Amazom"
"Arduino Uno R3 DIP style clone","Arduino uno board will be used to control two stepper motor for an alt-azimuth mount",1,6.00,"https://www.amazon.in/ATmega328P-Microcontroller-Included-Robotics-Electronics/dp/B0GFG8TMHD/ref=sr_1_2_sspa?crid=1Z5M7EE96US5C&dib=eyJ2IjoiMSJ9.b48dgqaZgjXxn3R9G-oXARzCofB04vAtzTtK_rHlKz5asnWr4gM4I8CRJjJiLIYgoDgjZeGDM_ppMx8RVP7_lp-NJEpUuuXt3Jd8dpCHSoTs_AtA_Y986kmIX7lidBhAQepjOIRAqYJ2W3LiSoC7EjJIq91WkIfTVOSHfAH4V_F6rJTQCgv1wd9jYEBdj5WbqR-pI-0US9qU4YycWod7pON_5becm5uktmiuvlEeu63k7AI73J5XCyXnoZdIqmAbi6dhTvujjX1JxE1dk96pV95MQO2gFwiF6JNU4eENZhc.ooda9d_p9J1IcFq2gerdx0BTOf7ZiPnzDhkFNSquWOM&dib_tag=se&keywords=arduino+uno+board&qid=1774014105&sprefix=arduino%2Caps%2C516&sr=8-2-spons&aref=WipSJjafVX&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1","Amazon"